title,category,salary_usd,location,experience_level,employment_type,work_setting,skills,source
Data DevOps Engineer,Data Engineering,95012.0,Germany,Mid-level,Full-time,Hybrid,,jobs_in_data
Data Architect,Data Architecture and Modeling,186000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,212000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Researcher,Machine Learning and AI,224400.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Data Engineer,Data Engineering,210000.0,United States,Executive,Full-time,Remote,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,224400.0,United States,Senior,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,43064.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Data Analyst,Data Analysis,95000.0,United States,Entry-level,Full-time,In-person,,jobs_in_data
Analytics Engineer,Leadership and Management,140000.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Applied Scientist,Data Science and Research,222200.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
BI Developer,BI and Visualization,167500.0,United States,Senior,Full-time,In-person,,jobs_in_data
Business Intelligence Engineer,BI and Visualization,185000.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Research Scientist,Data Science and Research,247600.0,United States,Senior,Full-time,In-person,,jobs_in_data
Research Analyst,Data Science and Research,72000.0,United States,Entry-level,Full-time,Remote,,jobs_in_data
Research Engineer,Data Science and Research,141298.0,United States,Senior,Full-time,In-person,,jobs_in_data
Machine Learning Engineer,Machine Learning and AI,266500.0,Canada,Senior,Full-time,In-person,,jobs_in_data
Data Engineer,Data Engineering,71363.0,United Kingdom,Senior,Full-time,In-person,,jobs_in_data
Data Science Engineer,Data Science and Research,160000.0,United States,Senior,Full-time,Remote,,jobs_in_data
Data Quality Analyst,Data Quality and Operations,49216.0,United Kingdom,Entry-level,Full-time,Remote,,jobs_in_data
Data Product Manager,Leadership and Management,186000.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Data Engineer,Data Engineering,220000.0,Canada,Mid-level,Full-time,Remote,,jobs_in_data
Machine Learning Scientist,Machine Learning and AI,180514.0,United States,Senior,Full-time,Remote,,jobs_in_data
AI Engineer,Machine Learning and AI,220000.0,United States,Senior,Full-time,In-person,,jobs_in_data
MLOps Engineer,Machine Learning and AI,133000.0,United States,Entry-level,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,43187.0,Spain,Entry-level,Full-time,In-person,,jobs_in_data
Data Analyst,Data Analysis,92280.0,United Kingdom,Entry-level,Full-time,In-person,,jobs_in_data
Data Scientist,Data Science and Research,75577.0,Ireland,Senior,Full-time,Hybrid,,jobs_in_data
Deep Learning Engineer,Machine Learning and AI,303387.0,Canada,Senior,Full-time,Remote,,jobs_in_data
Data Engineer,Data Engineering,124935.0,South Africa,Senior,Full-time,In-person,,jobs_in_data
Data Modeler,Data Architecture and Modeling,166000.0,United States,Mid-level,Full-time,In-person,,jobs_in_data
Data Analyst,Data Analysis,110000.0,Poland,Senior,Full-time,Remote,,jobs_in_data
Data Product Owner,Leadership and Management,104584.0,United Kingdom,Mid-level,Full-time,In-person,,jobs_in_data
Data Science Consultant,Data Science and Research,116000.0,United States,Senior,Full-time,In-person,,jobs_in_data
Business Intelligence Analyst,BI and Visualization,125009.0,United States,Mid-level,Full-time,Remote,,jobs_in_data
AI Developer,Machine Learning and AI,161952.0,France,Senior,Full-time,Hybrid,,jobs_in_data
Data Manager,Leadership and Management,127000.0,United States,Mid-level,Full-time,Remote,,jobs_in_data
ML Engineer,Machine Learning and AI,276000.0,United States,Senior,Full-time,In-person,,jobs_in_data
